scenario,region,variables,unit,2020,2030,2050
S3 Nuc,FR,Production|Electricity|Renewable|Biogas|CHP,TWh/year,2.02875941141346,1.78090348758121,2.33035759976893
S3 Nuc,FR,Production|Electricity|Renewable|Biomass|CHP,TWh/year,1.36712583240364,1.46823067443173,1.9212172553061
S3 Nuc,FR,Production|Electricity|Conventional|Waste,TWh/year,2.68009498253595,2.35266462577827,3.07852162041426
S3 Nuc,FR,Production|Electricity|Renewable|Geothermal,TWh/year,0.00400622187357709,0.0456230534211352,0.0596989281036252
S3 Nuc,FR,Production|Electricity|Hydro|Reservoir,TWh/year,8.66422897199262,7.60570991995733,9.95226317027834
S3 Nuc,FR,Production|Electricity|Hydro|Run of river,TWh/year,45.4872021029612,39.929977079776,52.2493816439613
S3 Nuc,FR,Production|Electricity|Hydro Total,TWh/year,54.1514310749539,47.5356869997333,62.2016448142396
S3 Nuc,FR,Production|Electricity|Total primary electricity without flexibility,TWh/year,550.692878589399,636.157843922205,643.401356441716
S3 Nuc,FR,Consumption|Electricity|Exports,TWh/year,99.1079331620748,121.179982215423,117.964618229693
S3 Nuc,FR,Production|Electricity|Imports,TWh/year,17.3188937328494,40.0425804943098,124.804010037169
S3 Nuc,FR,Balance|Electricity|Export-import balance,TWh/year,81.7890394292254,81.1374017211132,-6.83939180747599
S3 Nuc,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,3.05725017660516,3.84061909692636,10.6967257073195
S3 Nuc,FR,Production|Electricity|Storage|Battery,TWh/year,9.81040024843724E-06,4.68351307886515E-06,0.250675114407886
S3 Nuc,FR,Production|Electricity|Low to medium,TWh,1,1,1
S3 Nuc,FR,Production|Electricity|Medium to high,TWh,1,1,1
S3 Nuc,FR,Efficiency|Storage|Battery|Charge,%,85,90,90
S3 Nuc,FR,Efficiency|Storage|Hydro|Pumped storage,%,70,75,80
S4,FR,Production|Electricity|Nuclear,TWh/year,348.553592038854,278.152797282838,183.587042777968
